,mode,time,Ab,A,NT
5260,2,70,1363.3092857507374,0.8730622984285171,7.138317091885104
5261,2,70,1047.543579800668,0.9271229161343636,6.4825617842830745
5262,2,70,27.135262109700392,0.029260589555391625,0.003514602446252335
5263,2,70,1257.8798519036334,0.8270154014455077,3.2534713050616357
5264,2,70,260.9416831803073,0.32460583803727144,0.2922184731715092
5265,2,70,1478.5450527990358,0.8716868104188953,12.187160297777892
5266,2,70,1745.1768972097889,0.9839619703497032,5.904139440305089
5267,2,70,11.369794393629656,0.0144543276317776,0.0009589549895707289
5268,2,70,1709.366810802033,0.9501780956144757,7.633363415463335
5269,2,70,1302.7809724293393,0.8143396427416448,11.482750620755558
5270,2,70,1878.909513183371,0.9786042359305662,7.155334357045547
5271,2,70,1216.1812954929155,0.9949506872160039,5.158553747214494
5272,2,70,1121.4930347051475,0.6656027657958293,7.253564654450923
5273,2,70,1709.9524004132422,0.9683523141483565,13.051207609559562
5274,2,70,1393.6968130339399,0.8033526164113767,4.454759258953356
5275,2,70,1187.8442973077438,0.8757692208062852,3.405085884134916
5276,2,70,971.5528275473837,0.7993171433154918,4.4578846025050485
5277,2,70,895.797331036039,0.5755675386244352,1.664752744472153
5278,2,70,1516.7025981901807,0.9856691185553484,7.807318222105168
5279,2,70,1370.3619478751777,0.9566516008077705,5.295000585811133
5280,2,70,1785.3809498477049,0.9448048266241282,5.561693324691763
5281,2,70,1566.3265029729953,0.9315872332239865,16.457983463751457
5282,2,70,1583.5859405948977,0.980242265473213,18.21057724989989
5283,2,70,1342.3849776038376,0.8283559375366292,5.9932769544729005
5284,2,70,1233.028743795742,0.9834420543149784,10.708949180398786
5285,2,70,1296.5354527806123,0.9032411736508223,12.912025169968254
5286,2,70,1477.120255961943,0.9604226129568192,12.932698667303118
5287,2,70,5.117782646914752,0.008963077893838654,0.0004020191289985659
5288,2,70,1808.2394531936964,0.9990447630067494,5.460265555941886
5289,2,70,1647.932020443277,0.9188334710585884,6.12103664737941
5290,2,70,1363.3572125762407,0.9709530166610718,14.659300230321861
5291,2,70,977.3257547366995,0.7044369528285328,2.0738041585745064
5292,2,70,1772.3510326128428,0.9693155257522833,6.598217489215853
5293,2,70,677.995874371099,0.5009239476340429,3.9435153038235127
5294,2,70,6.602385358743452,0.0036375787474382517,0.00011494670402505559
