,k_infect,N1,H0,d_If,gamma,mode,vmax,IL6max,Q,emax,H,e
7144,0.00026113392326944905,575.7774942923515,53.8972384114204,0.26209709712405194,2.123961808306236,2,167.75446481809814,1100.6464329087803,7.22676552738454,0.9689843984375425,0.9016844603794347,0.00025636537372946105
7145,4.474146084543263e-05,1196.1594052127969,77.57030789582932,0.16985694099790621,0.7051443545080743,1,5.333652211777897,929.7003668277222,7.68621413348394,0.9177707277237788,0.9994449212612423,0.0013179700313937304
7146,9.09651797522185e-05,415.822362633181,102.38453037610374,0.10736034233439887,0.41577775883177187,5,0.01,20.228486461240635,9.684788036276986,3.6886370600505263e-19,1.0,0.0
7147,0.0001491581935100168,463.73224021618137,125.11039869063734,0.6878383178015653,5.952428386779819,4,9978.319862461141,5688.594124870287,2.3441109552521784,2.472325263251029e-05,0.11591336737111071,7.047054879818939e-09
7148,5.0654771086256423e-05,2614.0215728377857,10.888083644790369,0.5354855784475284,0.7720203567668258,1,0.01,20.006501346692303,9.685621721459164,5.075667478667932e-22,1.0,0.0
7149,5.88268776831971e-05,778.4748424777539,20.576562014956735,0.21053863081650198,0.19839238036926002,1,0.01,20.011688329261627,9.685605605580552,2.5655118456933704e-17,1.0,0.0
7150,0.000310162507781806,2508.709170128278,22.87499597271473,0.7380033660998816,13.13587435367555,5,5788.337494604855,2060.8055916119793,2.338472733012382,0.29421637142097085,0.22641194015268842,4.881164028531775e-06
7151,2.7410277570418835e-05,515.132626786122,13.162687662525025,1.922329858474739,0.35727693387494364,1,0.01,20.01573813172938,9.68559311986854,1.742439175536241e-19,1.0,0.0
7152,0.00022117437172968526,322.1654310741125,13.384417612606029,0.4661777860662304,0.4445952250604824,1,0.01,20.068780365736398,9.685421497308448,3.676578589372005e-18,1.0,0.0
7153,0.0004282128072489095,1653.1643072995678,72.47052293397998,0.17144174087495928,8.795360311401973,5,10341.107779243523,4888.111188317888,3.2120937099636775,0.8593890449853547,0.013194070753745539,0.00011439057208814669
7154,2.7129738246202435e-05,546.2796764861313,71.7074703199378,0.21312686744476342,0.2264974154567191,1,0.01,20.022740907838376,9.685570735963786,6.357374951009789e-20,1.0,0.0
7155,0.0001542107137408886,1549.7519102563197,241.22087465761356,0.18177315814060135,10.479036864847657,4,18035.7269730446,17849.41571940908,1.434836490088848,0.001436444964491532,0.06445861874761549,6.77809682021588e-07
7156,0.00019406269533056653,835.896791718584,83.20402420094923,0.30840456068722444,4.162553618539442,2,86.72263653175314,1855.9842772509685,6.583701276806083,0.8370328919888219,0.9797877073041434,2.2350037702491073e-05
7157,5.136828537354725e-05,2102.423927180513,18.7758337829332,0.10746195764963486,0.21790607592801745,5,0.01,20.052361200401382,9.685459991145436,5.1735816958813135e-23,1.0,0.0
7158,3.561205196788405e-05,3236.4793387316577,29.93161781826512,0.8729045354644356,3.011388438237773,5,473.19197333865475,578.4399560789097,7.111793197489113,0.043289276766099706,0.9672507044504167,0.0001808335571257674
7159,0.0002854600044426357,2808.870663579869,68.82591506124412,0.08291024416156721,4.575485661999344,3,11665.391125993367,3840.544581157489,3.440587662562336,0.001331440128071408,0.016613965017432022,6.125196447400875e-07
7160,0.00014003281892191726,2814.5519012468103,13.879044904429671,0.13098896935674423,0.7165283841622567,1,0.7739264022603491,166.78067840104978,9.249283552012933,6.586157831846157e-05,0.9997942308326233,9.822124054182726e-09
7161,0.0001834090186053418,698.7912007715624,17.3319955641073,0.6421211253010475,1.4263747492462053,5,362.5913343842741,409.465643210585,4.3904702247738845,0.0022891791485910138,0.8325944966575589,5.278884777754014e-06
